SID,article_number,sharing_type,score
s629,24,msg_share_narrow,100
s631,98,msg_share_narrow,75
s635,28,msg_share_narrow,67
s638,62,msg_share_narrow,7
s640,93,msg_share_narrow,87
s001,4,msg_share_broad,88
s003,74,msg_share_broad,3
s005,82,msg_share_broad,65
s009,61,msg_share_broad,52
s012,101,msg_share_broad,1
s015,42,msg_share_broad,90
s018,97,msg_share_broad,83
s020,80,msg_share_broad,10
s024,23,msg_share_broad,22
s028,100,msg_share_broad,85
s031,40,msg_share_broad,75
s036,95,msg_share_broad,6
s038,68,msg_share_broad,20
s041,52,msg_share_broad,95
s043,14,msg_share_broad,1
s046,57,msg_share_broad,96
s049,92,msg_share_broad,21
s052,2,msg_share_broad,9
s054,82,msg_share_broad,54
s056,104,msg_share_broad,33
s058,26,msg_share_broad,50
s063,20,msg_share_broad,0
s065,74,msg_share_broad,12
s067,83,msg_share_broad,3
s069,102,msg_share_broad,17
s072,28,msg_share_broad,56
s074,100,msg_share_broad,90
s076,18,msg_share_broad,1
s079,106,msg_share_broad,80
s081,70,msg_share_broad,1
s083,83,msg_share_broad,79
s085,22,msg_share_broad,51
s089,16,msg_share_broad,36
s092,83,msg_share_broad,50
s095,44,msg_share_broad,0
s099,51,msg_share_broad,11
s101,39,msg_share_broad,22
s104,97,msg_share_broad,72
s108,11,msg_share_broad,8
s111,51,msg_share_broad,0
s113,83,msg_share_broad,12
s115,51,msg_share_broad,38
s117,62,msg_share_broad,55
s119,0,msg_share_broad,0
s121,75,msg_share_broad,76
s123,8,msg_share_broad,27
s125,40,msg_share_broad,0
s127,9,msg_share_broad,14
s132,4,msg_share_broad,0
s134,57,msg_share_broad,40
s137,82,msg_share_broad,100
s140,95,msg_share_broad,0
s143,47,msg_share_broad,38
s146,103,msg_share_broad,14
s149,78,msg_share_broad,98
s151,13,msg_share_broad,100
s155,61,msg_share_broad,85
s157,11,msg_share_broad,75
s160,43,msg_share_broad,39
s163,29,msg_share_broad,100
s167,85,msg_share_broad,0
s170,68,msg_share_broad,84
s177,20,msg_share_broad,37
s184,90,msg_share_broad,35
s186,58,msg_share_broad,45
s189,21,msg_share_broad,0
s192,57,msg_share_broad,57
s194,37,msg_share_broad,13
s196,37,msg_share_broad,63
s198,83,msg_share_broad,82
s201,84,msg_share_broad,5
s204,17,msg_share_broad,12
s206,87,msg_share_broad,81
s208,50,msg_share_broad,68
s211,69,msg_share_broad,0
s214,41,msg_share_broad,90
s216,17,msg_share_broad,5
s218,51,msg_share_broad,43
s222,4,msg_share_broad,56
s224,82,msg_share_broad,0
s230,33,msg_share_broad,13
s235,82,msg_share_broad,84
s237,61,msg_share_broad,64
s243,69,msg_share_broad,88
s248,19,msg_share_broad,85
s250,65,msg_share_broad,89
s255,50,msg_share_broad,0
s258,10,msg_share_broad,88
s260,53,msg_share_broad,13
s262,53,msg_share_broad,57
s268,43,msg_share_broad,100
s273,2,msg_share_broad,84
s275,58,msg_share_broad,15
s277,95,msg_share_broad,96
s279,30,msg_share_broad,100
s281,0,msg_share_broad,51
s287,37,msg_share_broad,22
s292,79,msg_share_broad,7
s295,103,msg_share_broad,33
s299,21,msg_share_broad,76
s301,62,msg_share_broad,0
s305,94,msg_share_broad,0
s308,52,msg_share_broad,65
s313,82,msg_share_broad,2
s316,77,msg_share_broad,0
s319,75,msg_share_broad,95
s321,84,msg_share_broad,85
s324,76,msg_share_broad,31
s327,42,msg_share_broad,76
s329,4,msg_share_broad,0
s331,76,msg_share_broad,65
s337,29,msg_share_broad,50
s344,65,msg_share_broad,55
s348,99,msg_share_broad,64
s352,59,msg_share_broad,93
s358,6,msg_share_broad,30
s361,26,msg_share_broad,0
s364,108,msg_share_broad,41
s371,10,msg_share_broad,0
s373,9,msg_share_broad,65
s380,20,msg_share_broad,0
s387,91,msg_share_broad,0
s394,18,msg_share_broad,84
s396,94,msg_share_broad,100
s400,84,msg_share_broad,63
s402,38,msg_share_broad,89
s406,53,msg_share_broad,17
s412,108,msg_share_broad,44
s415,61,msg_share_broad,20
s419,92,msg_share_broad,11
s421,19,msg_share_broad,47
s423,5,msg_share_broad,12
s432,71,msg_share_broad,5
s435,73,msg_share_broad,100
s437,101,msg_share_broad,49
s442,47,msg_share_broad,83
s445,16,msg_share_broad,67
s448,35,msg_share_broad,72
s450,27,msg_share_broad,0
s454,2,msg_share_broad,62
s457,34,msg_share_broad,32
s462,105,msg_share_broad,13
s466,13,msg_share_broad,38
s470,48,msg_share_broad,17
s473,63,msg_share_broad,57
s478,83,msg_share_broad,100
s481,18,msg_share_broad,79
s483,94,msg_share_broad,0
s487,50,msg_share_broad,62
s490,46,msg_share_broad,17
s493,15,msg_share_broad,11
s495,5,msg_share_broad,0
s497,77,msg_share_broad,29
s499,23,msg_share_broad,78
s504,54,msg_share_broad,62
s506,103,msg_share_broad,65
s512,50,msg_share_broad,0
s514,42,msg_share_broad,1
s516,97,msg_share_broad,56
s520,81,msg_share_broad,73
s526,37,msg_share_broad,74
s529,76,msg_share_broad,75
s531,59,msg_share_broad,8
s533,67,msg_share_broad,69
s537,33,msg_share_broad,74
s540,16,msg_share_broad,48
s543,36,msg_share_broad,8
s545,95,msg_share_broad,94
s547,38,msg_share_broad,67
s551,85,msg_share_broad,72
s553,3,msg_share_broad,26
s555,39,msg_share_broad,74
s559,99,msg_share_broad,80
s563,58,msg_share_broad,33
s568,87,msg_share_broad,100
s571,29,msg_share_broad,2
s574,15,msg_share_broad,6
s576,108,msg_share_broad,13
s578,11,msg_share_broad,0
s582,35,msg_share_broad,62
s584,91,msg_share_broad,63
s588,71,msg_share_broad,13
s592,83,msg_share_broad,0
s594,28,msg_share_broad,71
s598,83,msg_share_broad,50
s600,93,msg_share_broad,27
s606,34,msg_share_broad,94
s610,21,msg_share_broad,48
s615,33,msg_share_broad,100
s618,70,msg_share_broad,1
s620,81,msg_share_broad,24
s622,43,msg_share_broad,81
s624,19,msg_share_broad,90
s627,10,msg_share_broad,0
s629,25,msg_share_broad,98
s631,95,msg_share_broad,0
s635,27,msg_share_broad,61
s638,69,msg_share_broad,91
s640,96,msg_share_broad,72
s001,4,msg_share_narrow,88
s003,74,msg_share_narrow,0
s005,82,msg_share_narrow,74
s009,61,msg_share_narrow,53
s012,101,msg_share_narrow,1
s015,42,msg_share_narrow,90
s018,97,msg_share_narrow,79
s020,80,msg_share_narrow,10
s024,23,msg_share_narrow,24
s028,100,msg_share_narrow,87
s031,40,msg_share_narrow,85
s036,95,msg_share_narrow,7
s038,68,msg_share_narrow,13
s041,52,msg_share_narrow,98
s043,14,msg_share_narrow,1
s046,57,msg_share_narrow,84
s049,92,msg_share_narrow,57
s052,2,msg_share_narrow,8
s054,82,msg_share_narrow,8
s056,104,msg_share_narrow,47
s058,26,msg_share_narrow,56
s063,20,msg_share_narrow,0
s065,74,msg_share_narrow,12
s067,83,msg_share_narrow,22
s069,102,msg_share_narrow,48
s072,28,msg_share_narrow,56
s074,100,msg_share_narrow,86
s076,18,msg_share_narrow,1
s079,106,msg_share_narrow,90
s081,70,msg_share_narrow,1
s083,83,msg_share_narrow,67
s085,22,msg_share_narrow,4
s089,16,msg_share_narrow,39
s092,83,msg_share_narrow,50
s095,44,msg_share_narrow,5
s099,51,msg_share_narrow,6
s101,39,msg_share_narrow,26
s104,97,msg_share_narrow,95
s108,11,msg_share_narrow,6
s111,51,msg_share_narrow,0
s113,83,msg_share_narrow,36
s115,51,msg_share_narrow,37
s117,62,msg_share_narrow,71
s119,0,msg_share_narrow,0
s121,75,msg_share_narrow,95
s123,8,msg_share_narrow,28
s125,40,msg_share_narrow,0
s127,9,msg_share_narrow,4
s132,4,msg_share_narrow,0
s134,57,msg_share_narrow,2
s137,82,msg_share_narrow,100
s140,95,msg_share_narrow,59
s143,47,msg_share_narrow,61
s146,103,msg_share_narrow,58
s149,78,msg_share_narrow,75
s151,13,msg_share_narrow,99
s155,61,msg_share_narrow,96
s157,11,msg_share_narrow,83
s160,43,msg_share_narrow,47
s163,29,msg_share_narrow,0
s167,85,msg_share_narrow,57
s170,68,msg_share_narrow,96
s177,20,msg_share_narrow,77
s184,90,msg_share_narrow,47
s186,58,msg_share_narrow,55
s189,21,msg_share_narrow,0
s192,57,msg_share_narrow,15
s194,37,msg_share_narrow,14
s196,37,msg_share_narrow,64
s198,83,msg_share_narrow,96
s201,84,msg_share_narrow,6
s204,17,msg_share_narrow,13
