SID,article_number,value,Tone,Arousal,sharing_type,sharing
s024,23,"A few people I know are now buying new homes, and I live near the Mississippi River.",1,2,msg_share_broad,22
s024,23,"A few people I know are now buying new homes, and I live near the Mississippi River.",1,2,msg_share_narrow,24
s024,29,A lot of my friends are car owners and this kind of thing directly affects them.,1,2,msg_share_broad,61
s024,29,A lot of my friends are car owners and this kind of thing directly affects them.,1,2,msg_share_narrow,65
s024,27,A lot of people I know care about the environment and sustainability.,1,2,msg_share_broad,11
s024,27,A lot of people I know care about the environment and sustainability.,1,2,msg_share_narrow,11
s024,28,I have two friends who work in a deli and eat the meat quite often.,1,2,msg_share_broad,25
s024,28,I have two friends who work in a deli and eat the meat quite often.,1,2,msg_share_narrow,79
s024,24,I know a few people who have had cancer and would find this interesting.,1,2,msg_share_broad,11
s024,24,I know a few people who have had cancer and would find this interesting.,1,2,msg_share_narrow,20
s024,25,"Most of my friends and family live somewhere near the Mississippi River, a few have been affected by floods.",0,2,msg_share_broad,59
s024,25,"Most of my friends and family live somewhere near the Mississippi River, a few have been affected by floods.",0,2,msg_share_narrow,64
s024,22,This is an article about ways plants offer good preventative care for some ailments.,1,2,msg_share_broad,10
s024,22,This is an article about ways plants offer good preventative care for some ailments.,1,2,msg_share_narrow,28
s024,21,This talks about coal mining restrictions in Australia.,1,1,msg_share_broad,1
s024,21,This talks about coal mining restrictions in Australia.,1,1,msg_share_narrow,2
s024,26,This talks about how a vegan diet can cause health problems.,0,2,msg_share_broad,6
s024,26,This talks about how a vegan diet can cause health problems.,0,2,msg_share_narrow,65
s024,20,This talks about reducing waste by buying fewer things locally.,1,2,msg_share_broad,11
s024,20,This talks about reducing waste by buying fewer things locally.,1,2,msg_share_narrow,17
s028,101,It is about marine mammals,1,2,msg_share_broad,74
s028,101,It is about marine mammals,1,2,msg_share_narrow,84
s028,103,It is about SUV  car sale,1,2,msg_share_broad,80
s028,103,It is about SUV  car sale,1,2,msg_share_narrow,86
s028,102,It is about the organisms,1,2,msg_share_broad,72
s028,102,It is about the organisms,1,2,msg_share_narrow,84
s028,107,It is related to my known people as it is about perfumes,1,2,msg_share_broad,81
s028,107,It is related to my known people as it is about perfumes,1,2,msg_share_narrow,88
s028,105,It is related to the people i know who were living in the climatic site,0,2,msg_share_broad,80
s028,105,It is related to the people i know who were living in the climatic site,0,2,msg_share_narrow,81
s028,108,it related to some of my friends as he has obesity,0,2,msg_share_broad,71
s028,108,it related to some of my friends as he has obesity,0,2,msg_share_narrow,83
s028,100,This article about immune system,1,2,msg_share_broad,85
s028,100,This article about immune system,1,2,msg_share_narrow,87
s028,106,This article is about obesity,0,1,msg_share_narrow,79
s028,106,This article is about obesity,0,1,msg_share_broad,85
s028,104,This article relates to my known people as it is about breast cancer which is usually a women's problem,1,2,msg_share_narrow,81
s028,104,This article relates to my known people as it is about breast cancer which is usually a women's problem,1,2,msg_share_broad,88
s028,109,This is about climate,0,2,msg_share_broad,85
s028,109,This is about climate,0,2,msg_share_narrow,90
s031,45,Climate change in Tibet,0,2,msg_share_narrow,73
s031,45,Climate change in Tibet,0,2,msg_share_broad,89
s031,47,Disposable cleaning products.,1,1,msg_share_narrow,82
s031,47,Disposable cleaning products.,1,1,msg_share_broad,97
s031,46,Food diet Kidney sones,0,1,msg_share_broad,72
s031,46,Food diet Kidney sones,0,1,msg_share_narrow,90
s031,44,Good food and sleep quality ib babies.,1,2,msg_share_narrow,38
s031,44,Good food and sleep quality ib babies.,1,2,msg_share_broad,52
s031,48,Improving the strength.,1,1,msg_share_narrow,76
s031,48,Improving the strength.,1,1,msg_share_broad,90
s031,49,Recycle is important.,1,2,msg_share_broad,84
s031,49,Recycle is important.,1,2,msg_share_narrow,94
s031,41,Reduction of carbon emissions.,1,1,msg_share_broad,15
s031,41,Reduction of carbon emissions.,1,1,msg_share_narrow,25
s031,43,Storing of Coal in Australia,0,1,msg_share_narrow,83
s031,43,Storing of Coal in Australia,0,1,msg_share_broad,92
s031,42,The article  contains nutritious information.,1,1,msg_share_narrow,84
s031,42,The article  contains nutritious information.,1,1,msg_share_broad,93
s031,40,Vitamin C & E are good to health,1,1,msg_share_broad,75
s031,40,Vitamin C & E are good to health,1,1,msg_share_narrow,85
s036,94,Benefits of sugary drink ban,1,1,msg_share_narrow,10
s036,94,Benefits of sugary drink ban,1,1,msg_share_broad,11
s036,93,Both solar power and fossil fuels are big right now.,1,2,msg_share_narrow,5
s036,93,Both solar power and fossil fuels are big right now.,1,2,msg_share_broad,8
s036,95,Climate change is an important issue for every human.,1,2,msg_share_broad,6
s036,95,Climate change is an important issue for every human.,1,2,msg_share_narrow,7
s036,99,Dangers of Climate change,0,4,msg_share_narrow,4
s036,99,Dangers of Climate change,0,4,msg_share_broad,8
s036,98,Exercise can damage bones.,0,2,msg_share_narrow,12
s036,98,Exercise can damage bones.,0,2,msg_share_broad,9
s036,91,Global warming projections,1,2,msg_share_narrow,5
s036,91,Global warming projections,1,2,msg_share_broad,6
s036,97,Heat has come from climate change.,0,2,msg_share_narrow,40
s036,97,Heat has come from climate change.,0,2,msg_share_broad,45
s036,96,I think it would be nice if more people had healthy relationships.,1,2,msg_share_narrow,3
s036,96,I think it would be nice if more people had healthy relationships.,1,2,msg_share_broad,4
s036,90,I want to protect my health,1,2,msg_share_broad,10
s036,90,I want to protect my health,1,2,msg_share_narrow,7
s036,92,I worry about the health of children.,0,2,msg_share_narrow,4
s036,92,I worry about the health of children.,0,2,msg_share_broad,5
s038,62,"Instead of competing to win, professional racers are looking to find other ways to enjoy their sport.",1,2,msg_share_narrow,33
s038,62,"Instead of competing to win, professional racers are looking to find other ways to enjoy their sport.",1,2,msg_share_broad,65
s038,65,It is about a teenage girl who became popular for being outspoken over climate change.,1,4,msg_share_broad,0
s038,65,It is about a teenage girl who became popular for being outspoken over climate change.,1,4,msg_share_narrow,0
s038,61,People who want or don't want energy independence will have something to argue about.,1,2,msg_share_narrow,13
s038,61,People who want or don't want energy independence will have something to argue about.,1,2,msg_share_broad,21
s038,69,Recycling has proper protocol that takes information to know what is recyclable instead of fitting in with the green crowd.,1,2,msg_share_broad,10
s038,69,Recycling has proper protocol that takes information to know what is recyclable instead of fitting in with the green crowd.,1,2,msg_share_narrow,11
s038,68,The choice between natural food and chemically made beverages for energy.,1,2,msg_share_narrow,13
s038,68,The choice between natural food and chemically made beverages for energy.,1,2,msg_share_broad,20
s038,66,The gluten-free diet has had a minority of objections to consider what possible issues it might bring.,1,2,msg_share_broad,0
s038,66,The gluten-free diet has had a minority of objections to consider what possible issues it might bring.,1,2,msg_share_narrow,0
s038,60,The importance of Vitamin D with pregnant women and health in general for babies.,1,2,msg_share_narrow,37
s038,60,The importance of Vitamin D with pregnant women and health in general for babies.,1,2,msg_share_broad,50
s038,63,The spread of wild grass growth allows the chances of wildfires to be worse than they presently have been.,0,2,msg_share_narrow,16
s038,63,The spread of wild grass growth allows the chances of wildfires to be worse than they presently have been.,0,2,msg_share_broad,32
s038,67,"The use of plastics and its many uses, have left a legacy of litter since they don't bio degrade and nature can't use it.",0,2,msg_share_narrow,23
s038,67,"The use of plastics and its many uses, have left a legacy of litter since they don't bio degrade and nature can't use it.",0,2,msg_share_broad,33
s038,64,There are supposedly healthier proteins with plant based proteins than a majority of people who get it through meat and poultry.,1,2,msg_share_narrow,34
s038,64,There are supposedly healthier proteins with plant based proteins than a majority of people who get it through meat and poultry.,1,2,msg_share_broad,50
s041,52,Because I am a woman and sharing this article with my female friends and family is one form of showing them that I care about their wellbeing.,1,2,msg_share_broad,95
s041,52,Because I am a woman and sharing this article with my female friends and family is one form of showing them that I care about their wellbeing.,1,2,msg_share_narrow,98
